Genotype	Treatment	Time_in_Weeks	target	Percentile	Cell_Number	Relative_percentile	Perc.Lower	Perc.Upper	Sd	Pvalue
EGFR;p53	None	11	Cdkn2a	0.5	1161.3	1.0029	0.9338	1.0513	0.0288	0.7426
EGFR;p53	None	11	Cdkn2a	0.6	1486.5	1.0038	0.9212	1.0504	0.0303	0.7307
EGFR;p53	None	11	Cdkn2a	0.7	1993	1.0007	0.9145	1.0441	0.0326	0.8779
EGFR;p53	None	11	Cdkn2a	0.8	2895	0.9929	0.8725	1.0336	0.0424	0.8567
EGFR;p53	None	11	Cdkn2a	0.9	5078.1	0.9928	0.8864	1.0508	0.0375	0.8044
EGFR;p53	None	11	Cdkn2a	0.95	7983.2	0.9625	0.8953	1.1273	0.0519	0.3464
EGFR;p53	None	11	Arid1a	0.5	1158	1.0000	0.9687	1.0206	0.0135	0.9762
EGFR;p53	None	11	Arid1a	0.6	1503.1	1.0150	0.9502	1.0451	0.0238	0.6010
EGFR;p53	None	11	Arid1a	0.7	2026.4	1.0175	0.9377	1.0538	0.0315	0.5718
EGFR;p53	None	11	Arid1a	0.8	2950.1	1.0117	0.9096	1.0466	0.0353	0.6208
EGFR;p53	None	11	Arid1a	0.9	5135.2	1.0039	0.8654	1.0618	0.0476	0.8304
EGFR;p53	None	11	Arid1a	0.95	8776.7	1.0582	0.8368	1.1256	0.0830	0.5652
EGFR;p53	None	11	Atm	0.5	1113.4	0.9615	0.9400	1.0270	0.0217	0.1403
EGFR;p53	None	11	Atm	0.6	1436.3	0.9699	0.9492	1.0020	0.0133	0.0660
EGFR;p53	None	11	Atm	0.7	1904.5	0.9563	0.9409	0.9853	0.0106	0.0127
EGFR;p53	None	11	Atm	0.8	2727.9	0.9355	0.9038	0.9681	0.0132	0.0030
EGFR;p53	None	11	Atm	0.9	4733.9	0.9255	0.8848	0.9674	0.0222	0.0045
EGFR;p53	None	11	Atm	0.95	7743	0.9336	0.8475	1.0314	0.0360	0.1110
EGFR;p53	None	11	Keap1	0.5	1213.6	1.0481	0.9800	1.0972	0.0343	0.2064
EGFR;p53	None	11	Keap1	0.6	1559.2	1.0529	0.9672	1.0992	0.0390	0.2762
EGFR;p53	None	11	Keap1	0.7	2037.6	1.0231	0.9610	1.0982	0.0405	0.5422
EGFR;p53	None	11	Keap1	0.8	3012.8	1.0332	0.9098	1.0959	0.0546	0.7356
EGFR;p53	None	11	Keap1	0.9	5560.1	1.0870	0.8956	1.1265	0.0660	0.3916
EGFR;p53	None	11	Keap1	0.95	10076.5	1.2149	1.0177	1.2632	0.0730	0.0266
EGFR;p53	None	11	Smad4	0.5	1180.2	1.0192	0.9792	1.0866	0.0249	0.3002
EGFR;p53	None	11	Smad4	0.6	1486.5	1.0038	0.9683	1.0703	0.0220	0.4822
EGFR;p53	None	11	Smad4	0.7	2059.7	1.0342	0.9615	1.0885	0.0335	0.3653
EGFR;p53	None	11	Smad4	0.8	2973	1.0196	0.9735	1.0677	0.0275	0.3457
EGFR;p53	None	11	Smad4	0.9	5353.3	1.0466	0.9494	1.1125	0.0355	0.2353
EGFR;p53	None	11	Smad4	0.95	9094.4	1.0965	0.9509	1.1702	0.0485	0.1356
EGFR;p53	None	11	Apc	0.5	1200.8	1.0370	1.0192	1.0625	0.0121	0.0147
EGFR;p53	None	11	Apc	0.6	1556.2	1.0509	0.9891	1.0735	0.0213	0.0822
EGFR;p53	None	11	Apc	0.7	2078.9	1.0439	0.9853	1.0690	0.0203	0.0935
EGFR;p53	None	11	Apc	0.8	2950.6	1.0119	0.9614	1.0415	0.0176	0.1764
EGFR;p53	None	11	Apc	0.9	5212.9	1.0191	0.9045	1.0562	0.0357	0.6474
EGFR;p53	None	11	Apc	0.95	8719.2	1.0513	0.9136	1.0873	0.0496	0.5700
EGFR;p53	None	11	Rbm10	0.5	1146.8	0.9904	0.9608	1.0731	0.0247	0.9509
EGFR;p53	None	11	Rbm10	0.6	1453	0.9812	0.9228	1.0453	0.0290	0.5407
EGFR;p53	None	11	Rbm10	0.7	1997.5	1.0030	0.8881	1.0726	0.0480	0.8777
EGFR;p53	None	11	Rbm10	0.8	2882.3	0.9885	0.8590	1.0271	0.0398	0.6650
EGFR;p53	None	11	Rbm10	0.9	5433.9	1.0623	0.8485	1.1324	0.0839	0.6036
EGFR;p53	None	11	Rbm10	0.95	8807.7	1.0619	0.8784	1.1219	0.0720	0.5750
EGFR;p53	None	11	Rb1	0.5	1138.1	0.9828	0.9400	1.0597	0.0265	0.5445
EGFR;p53	None	11	Rb1	0.6	1447.4	0.9774	0.9308	1.0515	0.0289	0.4248
EGFR;p53	None	11	Rb1	0.7	1959.6	0.9840	0.9153	1.0476	0.0304	0.4856
EGFR;p53	None	11	Rb1	0.8	2930.4	1.0050	0.9057	1.0629	0.0390	0.8876
EGFR;p53	None	11	Rb1	0.9	5168.5	1.0104	0.9450	1.1281	0.0391	0.5358
EGFR;p53	None	11	Rb1	0.95	8457.5	1.0197	0.9000	1.1197	0.0484	0.4673
EGFR;p53;Cas9	vehicle	11	Neo1	0.5	1657.3	0.9298	0.9091	1.0000	0.0261	0.0730
EGFR;p53;Cas9	vehicle	11	Neo1	0.6	2546.3	0.9524	0.9089	0.9994	0.0213	0.0258
EGFR;p53;Cas9	vehicle	11	Neo1	0.7	4110.2	0.9783	0.9174	1.0000	0.0217	0.0794
EGFR;p53;Cas9	vehicle	11	Neo1	0.8	7179.1	0.9702	0.8959	1.0009	0.0272	0.0833
EGFR;p53;Cas9	vehicle	11	Neo1	0.9	13911.4	0.9404	0.8701	0.9890	0.0292	0.0187
EGFR;p53;Cas9	vehicle	11	Neo1	0.95	24147.7	0.9160	0.8171	1.0158	0.0484	0.0758
EGFR;p53;Cas9	vehicle	11	Neo2	0.5	1782.4	1.0000	0.9185	1.0932	0.0414	0.8388
EGFR;p53;Cas9	vehicle	11	Neo2	0.6	2673.6	1.0000	0.9384	1.1015	0.0428	0.9437
EGFR;p53;Cas9	vehicle	11	Neo2	0.7	4201.3	1.0000	0.9434	1.0921	0.0381	0.7236
EGFR;p53;Cas9	vehicle	11	Neo2	0.8	7766.1	1.0495	0.9771	1.0922	0.0296	0.1553
EGFR;p53;Cas9	vehicle	11	Neo2	0.9	15916	1.0760	1.0032	1.1850	0.0441	0.0416
EGFR;p53;Cas9	vehicle	11	Neo2	0.95	28921.3	1.0971	1.0261	1.2080	0.0486	0.0121
EGFR;p53;Cas9	vehicle	11	Neo3	0.5	1782.4	1.0000	0.9647	1.0833	0.0296	0.3724
EGFR;p53;Cas9	vehicle	11	Neo3	0.6	2740.1	1.0249	0.9998	1.0536	0.0173	0.2183
EGFR;p53;Cas9	vehicle	11	Neo3	0.7	4303.3	1.0243	0.9897	1.0562	0.0169	0.2458
EGFR;p53;Cas9	vehicle	11	Neo3	0.8	7424.6	1.0033	0.9676	1.1072	0.0388	0.8827
EGFR;p53;Cas9	vehicle	11	Neo3	0.9	15105.3	1.0212	0.9700	1.1425	0.0443	0.5460
EGFR;p53;Cas9	vehicle	11	Neo3	0.95	27377.3	1.0386	0.9561	1.1575	0.0536	0.5382
EGFR;p53;Cas9	vehicle	11	NT1	0.5	1782.4	1.0000	0.9710	1.0647	0.0230	0.5949
EGFR;p53;Cas9	vehicle	11	NT1	0.6	2695.9	1.0084	0.9636	1.0588	0.0264	0.7228
EGFR;p53;Cas9	vehicle	11	NT1	0.7	4269.8	1.0163	0.9618	1.0385	0.0187	0.9881
EGFR;p53;Cas9	vehicle	11	NT1	0.8	7296.1	0.9860	0.9357	1.0432	0.0247	0.5096
EGFR;p53;Cas9	vehicle	11	NT1	0.9	14587.7	0.9862	0.8971	1.0208	0.0303	0.2756
EGFR;p53;Cas9	vehicle	11	NT1	0.95	25579.7	0.9704	0.8932	1.0376	0.0402	0.4200
EGFR;p53;Cas9	vehicle	11	Setd2	0.5	1656.2	0.9292	0.8346	1.0553	0.0535	0.4433
EGFR;p53;Cas9	vehicle	11	Setd2	0.6	2499.4	0.9348	0.8138	1.0283	0.0544	0.2068
EGFR;p53;Cas9	vehicle	11	Setd2	0.7	3819.4	0.9091	0.7756	1.0063	0.0605	0.0635
EGFR;p53;Cas9	vehicle	11	Setd2	0.8	6238.3	0.8430	0.7672	0.9673	0.0501	0.0237
EGFR;p53;Cas9	vehicle	11	Setd2	0.9	11834.8	0.8001	0.6447	0.9587	0.0744	0.0263
EGFR;p53;Cas9	vehicle	11	Setd2	0.95	20624.7	0.7824	0.6085	0.9380	0.0852	0.0042
EGFR;p53;Cas9	vehicle	11	Lkb1	0.5	1459.2	0.8187	0.5820	0.9194	0.0955	0.0000
EGFR;p53;Cas9	vehicle	11	Lkb1	0.6	2037	0.7619	0.5428	0.9036	0.0978	0.0000
EGFR;p53;Cas9	vehicle	11	Lkb1	0.7	3099.1	0.7376	0.5167	0.8567	0.0965	0.0000
EGFR;p53;Cas9	vehicle	11	Lkb1	0.8	5219.8	0.7054	0.5264	0.8367	0.0864	0.0000
EGFR;p53;Cas9	vehicle	11	Lkb1	0.9	10521.2	0.7113	0.5369	0.8387	0.0820	0.0000
EGFR;p53;Cas9	vehicle	11	Lkb1	0.95	21198.8	0.8042	0.5677	1.0301	0.1262	0.1076
EGFR;p53;Cas9	vehicle	11	p53	0.5	1613.1	0.9050	0.8288	0.9980	0.0383	0.0235
EGFR;p53;Cas9	vehicle	11	p53	0.6	2415.1	0.9033	0.8190	0.9633	0.0361	0.0055
EGFR;p53;Cas9	vehicle	11	p53	0.7	3754.4	0.8936	0.8131	0.9750	0.0409	0.0179
EGFR;p53;Cas9	vehicle	11	p53	0.8	6850.2	0.9257	0.8446	1.0154	0.0432	0.1001
EGFR;p53;Cas9	vehicle	11	p53	0.9	14409.7	0.9741	0.8608	1.0215	0.0413	0.3892
EGFR;p53;Cas9	vehicle	11	p53	0.95	25266.9	0.9585	0.8278	1.0627	0.0665	0.5513
EGFR;p53;Cas9	vehicle	11	Cdkn2a	0.5	1671	0.9375	0.9028	1.0107	0.0313	0.2338
EGFR;p53;Cas9	vehicle	11	Cdkn2a	0.6	2546.3	0.9524	0.8747	1.0000	0.0339	0.0676
EGFR;p53;Cas9	vehicle	11	Cdkn2a	0.7	3819.4	0.9091	0.8542	0.9871	0.0362	0.0274
EGFR;p53;Cas9	vehicle	11	Cdkn2a	0.8	6619.7	0.8946	0.8500	0.9683	0.0313	0.0148
EGFR;p53;Cas9	vehicle	11	Cdkn2a	0.9	13375.8	0.9042	0.8129	0.9861	0.0433	0.0299
EGFR;p53;Cas9	vehicle	11	Cdkn2a	0.95	25776.2	0.9778	0.8423	1.0765	0.0596	0.5888
EGFR;p53;Cas9	vehicle	11	Arid1a	0.5	2164.3	1.2143	0.9657	1.5785	0.1455	0.0787
EGFR;p53;Cas9	vehicle	11	Arid1a	0.6	3271.2	1.2235	0.9126	1.5263	0.1495	0.1495
EGFR;p53;Cas9	vehicle	11	Arid1a	0.7	4778	1.1373	0.8325	1.4947	0.1638	0.4062
EGFR;p53;Cas9	vehicle	11	Arid1a	0.8	7531.4	1.0178	0.7432	1.3957	0.1594	0.9448
EGFR;p53;Cas9	vehicle	11	Arid1a	0.9	14768.3	0.9984	0.6927	1.3629	0.1672	0.8260
EGFR;p53;Cas9	vehicle	11	Arid1a	0.95	25452.3	0.9655	0.6139	1.3614	0.1913	0.7916
EGFR;p53;Cas9	vehicle	11	Atm	0.5	1909.7	1.0714	1.0136	1.1331	0.0287	0.0268
EGFR;p53;Cas9	vehicle	11	Atm	0.6	3032.4	1.1342	1.0323	1.1677	0.0351	0.0120
EGFR;p53;Cas9	vehicle	11	Atm	0.7	4702.9	1.1194	1.0091	1.2000	0.0517	0.0273
EGFR;p53;Cas9	vehicle	11	Atm	0.8	8020.7	1.0839	0.9797	1.1544	0.0471	0.1557
EGFR;p53;Cas9	vehicle	11	Atm	0.9	16550.7	1.1189	0.9341	1.2000	0.0691	0.2120
EGFR;p53;Cas9	vehicle	11	Atm	0.95	28369.7	1.0762	0.8903	1.2547	0.1037	0.6459
EGFR;p53;Cas9	vehicle	11	Keap1	0.5	1844.3	1.0347	0.7242	1.2621	0.1351	0.7465
EGFR;p53;Cas9	vehicle	11	Keap1	0.6	2685.6	1.0045	0.6825	1.2970	0.1537	0.9205
EGFR;p53;Cas9	vehicle	11	Keap1	0.7	4158.3	0.9898	0.6213	1.3010	0.1785	0.9171
EGFR;p53;Cas9	vehicle	11	Keap1	0.8	7125.6	0.9629	0.6250	1.3061	0.1757	0.8256
EGFR;p53;Cas9	vehicle	11	Keap1	0.9	15063.6	1.0183	0.6620	1.3083	0.1657	0.9701
EGFR;p53;Cas9	vehicle	11	Keap1	0.95	27517.9	1.0439	0.6804	1.5589	0.2279	0.8466
EGFR;p53;Cas9	vehicle	11	Smad4	0.5	2164.3	1.2143	1.0328	1.3162	0.0745	0.0129
EGFR;p53;Cas9	vehicle	11	Smad4	0.6	3310.1	1.2381	1.0251	1.3607	0.0941	0.0220
EGFR;p53;Cas9	vehicle	11	Smad4	0.7	5347.1	1.2727	0.9868	1.4000	0.1191	0.0785
EGFR;p53;Cas9	vehicle	11	Smad4	0.8	8911.9	1.2043	0.9831	1.3767	0.1090	0.0928
EGFR;p53;Cas9	vehicle	11	Smad4	0.9	18124.6	1.2253	1.0416	1.3638	0.0875	0.0128
EGFR;p53;Cas9	vehicle	11	Smad4	0.95	32916.2	1.2487	1.0298	1.4772	0.1321	0.0086
EGFR;p53;Cas9	vehicle	11	Apc	0.5	2787.8	1.5641	1.3557	1.7535	0.0983	0.0000
EGFR;p53;Cas9	vehicle	11	Apc	0.6	4552.5	1.7028	1.4096	1.8972	0.1133	0.0000
EGFR;p53;Cas9	vehicle	11	Apc	0.7	7436.4	1.7700	1.3950	2.0041	0.1555	0.0000
EGFR;p53;Cas9	vehicle	11	Apc	0.8	13319.5	1.8000	1.4668	2.0868	0.1588	0.0000
EGFR;p53;Cas9	vehicle	11	Apc	0.9	29161.4	1.9714	1.5709	2.3206	0.1964	0.0000
EGFR;p53;Cas9	vehicle	11	Apc	0.95	55494.3	2.1052	1.5577	2.6730	0.3057	0.0000
EGFR;p53;Cas9	vehicle	11	Rbm10	0.5	2431.5	1.3642	1.2032	1.7618	0.1445	0.0010
EGFR;p53;Cas9	vehicle	11	Rbm10	0.6	4388.5	1.6414	1.3832	2.0571	0.1661	0.0002
EGFR;p53;Cas9	vehicle	11	Rbm10	0.7	7901.1	1.8806	1.4460	2.1981	0.1852	0.0000
EGFR;p53;Cas9	vehicle	11	Rbm10	0.8	14087.2	1.9037	1.5610	2.3285	0.1815	0.0000
EGFR;p53;Cas9	vehicle	11	Rbm10	0.9	30890.4	2.0883	1.8610	2.3851	0.1281	0.0000
EGFR;p53;Cas9	vehicle	11	Rbm10	0.95	58653	2.2250	1.8910	2.5132	0.1565	0.0000
EGFR;p53;Cas9	vehicle	11	Rb1	0.5	2261.4	1.2688	1.1094	1.4086	0.0725	0.0039
EGFR;p53;Cas9	vehicle	11	Rb1	0.6	3981.7	1.4893	1.2642	1.9237	0.1628	0.0012
EGFR;p53;Cas9	vehicle	11	Rb1	0.7	8911.9	2.1212	1.7569	2.6283	0.2241	0.0004
EGFR;p53;Cas9	vehicle	11	Rb1	0.8	22035.6	2.9778	2.5543	3.4787	0.2335	0.0000
EGFR;p53;Cas9	vehicle	11	Rb1	0.9	62161.4	4.2023	3.7892	4.5196	0.1868	0.0000
EGFR;p53;Cas9	vehicle	11	Rb1	0.95	127400.9	4.8329	4.0969	5.5285	0.3417	0.0000
EGFR;p53;Cas9	osimertinib	11	Neo1	0.5	1190.4	0.9975	0.9526	1.0250	0.0177	0.7414
EGFR;p53;Cas9	osimertinib	11	Neo1	0.6	1474.2	1.0000	0.9631	1.0277	0.0158	0.9901
EGFR;p53;Cas9	osimertinib	11	Neo1	0.7	1871	1.0070	0.9538	1.0434	0.0231	0.7464
EGFR;p53;Cas9	osimertinib	11	Neo1	0.8	2489.9	1.0090	0.9589	1.0355	0.0193	0.9947
EGFR;p53;Cas9	osimertinib	11	Neo1	0.9	3847.8	1.0049	0.9351	1.0452	0.0285	0.8119
EGFR;p53;Cas9	osimertinib	11	Neo1	0.95	5989.9	1.0264	0.9114	1.0894	0.0457	0.6094
EGFR;p53;Cas9	osimertinib	11	Neo2	0.5	1223.4	1.0251	0.9772	1.0815	0.0283	0.3073
EGFR;p53;Cas9	osimertinib	11	Neo2	0.6	1482.1	1.0053	0.9719	1.0876	0.0294	0.4983
EGFR;p53;Cas9	osimertinib	11	Neo2	0.7	1905.9	1.0257	0.9766	1.0887	0.0277	0.3386
EGFR;p53;Cas9	osimertinib	11	Neo2	0.8	2671.5	1.0826	1.0019	1.1544	0.0385	0.0421
EGFR;p53;Cas9	osimertinib	11	Neo2	0.9	4150.1	1.0839	0.9881	1.1570	0.0442	0.1218
EGFR;p53;Cas9	osimertinib	11	Neo2	0.95	6036.3	1.0343	0.9421	1.2215	0.0714	0.4208
EGFR;p53;Cas9	osimertinib	11	Neo3	0.5	1204.2	1.0090	0.9738	1.0541	0.0188	0.5890
EGFR;p53;Cas9	osimertinib	11	Neo3	0.6	1482.1	1.0053	0.9792	1.0488	0.0176	0.4065
EGFR;p53;Cas9	osimertinib	11	Neo3	0.7	1879.1	1.0114	0.9660	1.0400	0.0181	0.8947
EGFR;p53;Cas9	osimertinib	11	Neo3	0.8	2446.7	0.9915	0.9461	1.0278	0.0203	0.4789
EGFR;p53;Cas9	osimertinib	11	Neo3	0.9	3767	0.9838	0.9426	1.0290	0.0213	0.4400
EGFR;p53;Cas9	osimertinib	11	Neo3	0.95	5904.5	1.0118	0.9200	1.0545	0.0354	0.8620
EGFR;p53;Cas9	osimertinib	11	NT1	0.5	1163.3	0.9747	0.9395	1.0000	0.0158	0.0637
EGFR;p53;Cas9	osimertinib	11	NT1	0.6	1430.8	0.9705	0.9375	1.0000	0.0175	0.0906
EGFR;p53;Cas9	osimertinib	11	NT1	0.7	1834.4	0.9873	0.9428	1.0063	0.0164	0.1396
EGFR;p53;Cas9	osimertinib	11	NT1	0.8	2408.4	0.9760	0.9330	1.0098	0.0200	0.1451
EGFR;p53;Cas9	osimertinib	11	NT1	0.9	3787.6	0.9892	0.9076	1.0626	0.0400	0.6359
EGFR;p53;Cas9	osimertinib	11	NT1	0.95	5413.7	0.9277	0.8816	1.0384	0.0425	0.3442
EGFR;p53;Cas9	osimertinib	11	Setd2	0.5	1122.9	0.9409	0.8621	1.0177	0.0408	0.1609
EGFR;p53;Cas9	osimertinib	11	Setd2	0.6	1407.1	0.9545	0.8696	1.0228	0.0399	0.2464
EGFR;p53;Cas9	osimertinib	11	Setd2	0.7	1769.8	0.9525	0.8639	1.0302	0.0428	0.2270
EGFR;p53;Cas9	osimertinib	11	Setd2	0.8	2391.2	0.9690	0.8631	1.0315	0.0424	0.3062
EGFR;p53;Cas9	osimertinib	11	Setd2	0.9	3745.7	0.9783	0.8927	1.0585	0.0417	0.6502
EGFR;p53;Cas9	osimertinib	11	Setd2	0.95	5566.5	0.9539	0.8606	1.0629	0.0541	0.4299
EGFR;p53;Cas9	osimertinib	11	Lkb1	0.5	976.6	0.8183	0.7555	0.8869	0.0330	0.0000
EGFR;p53;Cas9	osimertinib	11	Lkb1	0.6	1176.4	0.7980	0.7353	0.8748	0.0351	0.0000
EGFR;p53;Cas9	osimertinib	11	Lkb1	0.7	1482.4	0.7978	0.7150	0.8873	0.0443	0.0000
EGFR;p53;Cas9	osimertinib	11	Lkb1	0.8	2131.5	0.8638	0.7366	0.9662	0.0579	0.0069
EGFR;p53;Cas9	osimertinib	11	Lkb1	0.9	3485.7	0.9104	0.7863	0.9944	0.0526	0.0403
EGFR;p53;Cas9	osimertinib	11	Lkb1	0.95	5213.6	0.8934	0.8124	1.0000	0.0486	0.0524
EGFR;p53;Cas9	osimertinib	11	p53	0.5	1148.9	0.9627	0.9366	1.0000	0.0154	0.0596
EGFR;p53;Cas9	osimertinib	11	p53	0.6	1431.7	0.9712	0.9390	1.0314	0.0222	0.3853
EGFR;p53;Cas9	osimertinib	11	p53	0.7	1856.6	0.9992	0.9452	1.0583	0.0283	0.9727
EGFR;p53;Cas9	osimertinib	11	p53	0.8	2505.2	1.0152	0.9619	1.0722	0.0284	0.6897
EGFR;p53;Cas9	osimertinib	11	p53	0.9	3937.2	1.0283	0.9434	1.0728	0.0329	0.4549
EGFR;p53;Cas9	osimertinib	11	p53	0.95	5615	0.9622	0.8636	1.0489	0.0474	0.4731
EGFR;p53;Cas9	osimertinib	11	Cdkn2a	0.5	1163.3	0.9747	0.9481	1.0263	0.0198	0.3109
EGFR;p53;Cas9	osimertinib	11	Cdkn2a	0.6	1407.9	0.9550	0.9235	1.0254	0.0264	0.2450
EGFR;p53;Cas9	osimertinib	11	Cdkn2a	0.7	1837.8	0.9891	0.9353	1.0434	0.0264	0.5311
EGFR;p53;Cas9	osimertinib	11	Cdkn2a	0.8	2444.6	0.9907	0.9546	1.0488	0.0237	0.6845
EGFR;p53;Cas9	osimertinib	11	Cdkn2a	0.9	3947.9	1.0311	0.9925	1.0988	0.0294	0.1238
EGFR;p53;Cas9	osimertinib	11	Cdkn2a	0.95	6600.6	1.1310	1.0000	1.2695	0.0665	0.0508
EGFR;p53;Cas9	osimertinib	11	Arid1a	0.5	1118.5	0.9372	0.8498	1.0000	0.0395	0.0644
EGFR;p53;Cas9	osimertinib	11	Arid1a	0.6	1364.9	0.9258	0.8511	1.0000	0.0406	0.0784
EGFR;p53;Cas9	osimertinib	11	Arid1a	0.7	1702.3	0.9162	0.8448	0.9988	0.0371	0.0344
EGFR;p53;Cas9	osimertinib	11	Arid1a	0.8	2308.2	0.9354	0.8477	1.0244	0.0439	0.1432
EGFR;p53;Cas9	osimertinib	11	Arid1a	0.9	3675	0.9598	0.8490	1.0264	0.0489	0.2519
EGFR;p53;Cas9	osimertinib	11	Arid1a	0.95	5383.8	0.9225	0.8588	1.0143	0.0403	0.0868
EGFR;p53;Cas9	osimertinib	11	Atm	0.5	1158.3	0.9706	0.9221	1.0197	0.0257	0.1948
EGFR;p53;Cas9	osimertinib	11	Atm	0.6	1425.7	0.9671	0.9307	1.0238	0.0236	0.2547
EGFR;p53;Cas9	osimertinib	11	Atm	0.7	1850.6	0.9960	0.9113	1.0427	0.0339	0.6829
EGFR;p53;Cas9	osimertinib	11	Atm	0.8	2518.5	1.0206	0.9091	1.0928	0.0458	0.8428
EGFR;p53;Cas9	osimertinib	11	Atm	0.9	3853.4	1.0064	0.8998	1.0814	0.0463	0.9101
EGFR;p53;Cas9	osimertinib	11	Atm	0.95	5680.3	0.9733	0.8755	1.0807	0.0519	0.6246
EGFR;p53;Cas9	osimertinib	11	Keap1	0.5	1482.1	1.2419	1.1034	1.4384	0.0864	0.0002
EGFR;p53;Cas9	osimertinib	11	Keap1	0.6	1935	1.3125	1.0927	1.5853	0.1246	0.0050
EGFR;p53;Cas9	osimertinib	11	Keap1	0.7	2597.5	1.3980	1.1667	1.7163	0.1438	0.0003
EGFR;p53;Cas9	osimertinib	11	Keap1	0.8	3515.9	1.4248	1.1563	1.7761	0.1608	0.0004
EGFR;p53;Cas9	osimertinib	11	Keap1	0.9	5609.4	1.4650	1.1221	1.8915	0.1947	0.0034
EGFR;p53;Cas9	osimertinib	11	Keap1	0.95	8538.9	1.4632	1.1521	1.9113	0.1956	0.0003
